fold,class,bar_resnet50,bar_vgg16,bg_frac,excess_resnet,excess_vgg
1,Pepper__bell___Bacterial_spot,0.2061007767915725,0.2391887456178665,0.3959861288265306,-0.18988535203495813,-0.15679738320866413
1,Pepper__bell___Bacterial_spot,0.2084796279668808,0.2843113243579864,0.507453762755102,-0.2989741347882212,-0.22314243839711562
1,Pepper__bell___Bacterial_spot,0.2791327536106109,0.3176540732383728,0.5327248086734694,-0.2535920550628585,-0.21507073543509658
1,Pepper__bell___Bacterial_spot,0.2338119745254516,0.1842591017484665,0.39475047831632654,-0.16093850379087493,-0.21049137656786004
1,Pepper__bell___Bacterial_spot,0.208014890551567,0.2480214536190033,0.43345424107142855,-0.22543935051986155,-0.18543278745242525
1,Pepper__bell___Bacterial_spot,0.2808398902416229,0.2183863222599029,0.5743981186224489,-0.293558228380826,-0.35601179636254604
1,Pepper__bell___Bacterial_spot,0.190241053700447,0.1475970596075058,0.3758569834183674,-0.18561592971792037,-0.22825992381086158
1,Pepper__bell___Bacterial_spot,0.3313980996608734,0.253012865781784,0.48116629464285715,-0.14976819498198374,-0.22815342886107315
1,Pepper__bell___Bacterial_spot,0.1845211684703827,0.1893777847290039,0.41017617984693877,-0.22565501137655608,-0.22079839511793486
1,Pepper__bell___Bacterial_spot,0.2246528267860412,0.1801311820745468,0.47263632015306123,-0.24798349336702002,-0.2925051380785144
1,Pepper__bell___Bacterial_spot,0.3233473896980285,0.3405020833015442,0.5991310586734694,-0.2757836689754409,-0.2586289753719252
1,Pepper__bell___Bacterial_spot,0.1904883086681366,0.1068912521004676,0.47622369260204084,-0.28573538393390424,-0.3693324405015732
1,Pepper__bell___Bacterial_spot,0.3635315597057342,0.2346213608980178,0.5510602678571429,-0.1875287081514087,-0.31643890695912513
1,Pepper__bell___Bacterial_spot,0.3619547188282013,0.2883711457252502,0.47538663903061223,-0.11343192020241094,-0.18701549330536205
